init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type
1	854	1	0.78000001907349	0.78000001907349	0.0	0.0	0	0	1
1	870	1	1.3800000190735	1.3800000190735	0.0	0.0	0	0	1
2	893	1	0.42000002861023	0.42000002861023	0.0	0.0	0	0	1
2	934	1	1.3200000762939	1.3200000762939	0.0	0.0	0	0	1
2	938	1	0.42000002861023	0.42000002861023	0.0	0.0	0	0	1
3	909	1	0.6	0.6	0.0	0.0	0	0	1
3	911	1	2.0400001525879	2.0400001525879	0.0	0.0	0	0	1
3	923	1	1.3200000762939	1.3200000762939	0.0	0.0	0	0	1
3	929	1	1.5000000953674	1.5000000953674	0.0	0.0	0	0	1
4	902	1	1.6800001144409	1.6800001144409	0.0	0.0	0	0	1
4	917	1	0.54000000953674	0.54000000953674	0.0	0.0	0	0	1
4	919	1	0.9	0.9	0.0	0.0	0	0	1
4	920	1	0.6	0.6	0.0	0.0	0	0	1
4	932	1	1.0800000190735	1.0800000190735	0.0	0.0	0	0	1
5	1009	1	0.6	0.6	0.0	0.0	0	0	1
5	1010	1	2.2800001144409	2.2800001144409	0.0	0.0	0	0	1
5	1029	1	0.84000005722046	0.84000005722046	0.0	0.0	0	0	1
6	992	1	0.42000002861023	0.42000002861023	0.0	0.0	0	0	1
6	1008	1	1.6200000762939	1.6200000762939	0.0	0.0	0	0	1
6	1018	1	0.66000003814697	0.66000003814697	0.0	0.0	0	0	1
7	970	1	0.96000003814697	0.96000003814697	0.0	0.0	0	0	1
7	971	1	0.78000001907349	0.78000001907349	0.0	0.0	0	0	1
7	972	1	0.72000002861023	0.72000002861023	0.0	0.0	0	0	1
7	973	1	0.9	0.9	0.0	0.0	0	0	1
7	974	1	1.0800000190735	1.0800000190735	0.0	0.0	0	0	1
8	996	1	0.54000000953674	0.54000000953674	0.0	0.0	0	0	1
8	1012	1	0.78000001907349	0.78000001907349	0.0	0.0	0	0	1
9	840	1	0.36000001430511	0.36000001430511	0.0	0.0	0	0	1
10	535	1	1.0400000254313	1.0400000254313	0.0	0.0	0	0	1
10	839	1	1.5200000762939	1.5200000762939	0.0	0.0	0	0	1
11	166	1	1.5600001017253	1.5600001017253	0.0	0.0	0	0	1
11	200	1	1.5600001017253	1.5600001017253	0.0	0.0	0	0	1
12	167	1	1.8800000508626	1.8800000508626	0.0	0.0	0	0	1
12	199	1	1.2	1.2	0.0	0.0	0	0	1
13	170	1	0.84000002543132	0.84000002543132	0.0	0.0	0	0	1
14	169	1	2.2800000508626	2.2800000508626	0.0	0.0	0	0	1
14	191	1	2.2800000508626	2.2800000508626	0.0	0.0	0	0	1
14	197	1	1.1200000762939	1.1200000762939	0.0	0.0	0	0	1
